#,Name,Edition,Edition #,Reference,Category,Notes,Release Date (if known)
178,Tenya Iida,1st Edition (soft),"7,200",My Hero Academia,Anime,,
179,Eijiro Kirishima,1st Edition (soft),"7,200",My Hero Academia,Anime,,
180,Fumikage Tokoyami,"1st Edition
1st Edition (Target, soft)
1st Edition (hard)","336
2,208
3,024",My Hero Academia,Anime,,
181,Momo Yaoyorozu,"1st Edition (GameStop, soft)
1st Edition (hard)","6,120
1,512",My Hero Academia,Anime,,
182,Bruce Lee,1st Edition (hard),"1,008",Bruce Lee,Actors / Celebrities,,
183,Bruce Lee (RARE),1st Edition (hard),500,Bruce Lee,Actors / Celebrities,ECCC 2019 Exclusive,
184,Rocket,"AP Edition (hard)
1st Edition (hard)","54
1,062",Avengers: Endgame,Marvel,,
185,Thanos,1st Edition (hard),"1,008",Avengers: Endgame,Marvel,SDCC 2019 Exclusive,
186,Iron Man,"AP Edition (soft)
AP Edition (hard)
1st Edition (hard)
1st Edition (soft)","24
54
1,062
5,760",Avengers: Endgame,Marvel,,
187,Hawkeye,"Ap Edition (soft)
AP Edition (hard)
1st Edition (hard)
1st Edition (soft)","24
54
1,062
5,760",Avengers: Endgame,Marvel,,
188,Batman (GLITTER),1st Edition (hard),756,DC Batman Classic,DC Comics,SDCC 2019 Exclusive (Glitter 2-Pack),
189,The Joker (GLITTER),1st Edition (hard),756,DC Batman Classic,DC Comics,SDCC 2019 Exclusive (Glitter 2-Pack),
190,Vegeta,"1st Edition (GameStop, soft)","7,704",Dragon Ball Super Broly Movie,Anime,,
191,Goku,"1st Edition (GameStop, soft)","7,704",Dragon Ball Super Broly Movie,Anime,,
192,Super Saiyan God Vegeta,"AP Edition
1st Edition (GameStop, soft)","24
8,640",Dragon Ball Super Broly Movie,Anime,,
193,Broly,1st Edition,"2,016",Dragon Ball Super Broly Movie,Anime,,
194,Woody,1st Edition,"3,024",Toy Story 4,Movies,,
195,Buzz Lightyear,1st Edition,"3,024",Toy Story 4,Movies,,
196,Bo Beep,1st Edition,"3,024",Toy Story 4,Movies,,
197,Duke Caboom,1st Edition,"3,024",Toy Story 4,Movies,,
198,Forky,1st Edition,"3,024",Toy Story 4,Movies,,
199,Sub Zero,1st Edition (hard),756,Mortal Kombat X,Video Games,FiGPiN.com Exclusive,
200,Mickey Mouse,1st Edition (hard),"1,008",Disney,Disney,d23 2019 Exclusive,
201,Minnie Mouse,1st Edition (hard),"1,008",Disney,Disney,d23 2019 Exclusive,
202,Super Saiyan God Super Saiyan Gogeta,"1st Edition (GameStop, soft)","6,000",Dragon Ball Super Broly Movie,Anime,,October 2019
203,Gogeta,"AP Edition
1st Edition (hard)","36
1,008",Dragon Ball Super Broly Movie,Anime,SDCC 2019 Exclusive,
204,Zen-Oh,1st Edition (hard),TBD,Dragon Ball Super,Anime,Coming December 2019 / Galactic Toys Exclusive,
205,Hercule,"AP Edition (hard)
1st Edition (hard)","36
756",Dragon Ball Z,Anime,SDCC 2019 Exclusive,
206,TBD,TBD,TBD,TBD,TBD,,
207,Gotenks,"1st Edition (GameStop, soft)","7,200",Dragon Ball FighterZ,Anime,,October 2019
208,Android 21,"1st Edition (GameStop, soft)","7,704",Dragon Ball FighterZ,Anime,,October 2019
209,TBD,TBD,TBD,TBD,TBD,,
210,TBD,TBD,TBD,TBD,TBD,,
211,TBD,TBD,TBD,TBD,TBD,,
212,Thrall,1st Edition (hard),"1,000",World of Warcraft,Video Games,SDCC 2019 Blizzard Exclusive,
213,Vegeta - Over 9000! (Gold),"Ap Edition (hard)
1st Edition (hard)","36
1,000",Dragon Ball Z,Anime,Anime Expo (AX) 2019 Exclusive,
214,Frieza (Final Form) (Gold),1st Edition (hard),"1,000",Dragon Ball Z,Anime,SDCC 2019 BAIT Exclusive,
215,Pennywise,1st Edition,TBD,IT Chapter 2,Movies,Coming Fall 2019,
216,Pennywise (with Balloon),1st Edition,TBD,IT Chapter 2,Movies,Coming Fall 2019 / Target Exclusive,
217,TBD,TBD,TBD,TBD,TBD,,
218,TBD,TBD,TBD,TBD,TBD,,
219,Majin Vegeta,1st Edition (hard),"3,024",Dragon Ball Z,Anime,NYCC 2019 Toy Temple Exclusive (Debut),
220,Miles Morales,"AP Edition
1st Edition (hard)","175
TBD",Spider-Man Into the Spider-Verse,Marvel,Shipping October 2019 (Pre-Ordering available July 2019) / FiGPiN.com Exclusive,
221,TBD,TBD,TBD,TBD,TBD,,
222,Super Saiyan 3 Goku,1st Edition,TBD,Dragon Ball Z,Anime,Coming November 2019 / Target First-to-Market Exclusive,
223,TBD,TBD,TBD,TBD,TBD,,
224,TBD,TBD,TBD,TBD,TBD,,
225,TBD,TBD,TBD,TBD,TBD,,
226,TBD,TBD,TBD,TBD,TBD,,
227,TBD,TBD,TBD,TBD,TBD,,
228,Ariel,1st Edition (hard),504,The Little Mermaid,Disney,d23 2019 Exclusive,
229,Great Ape Vegeta,1st Edition,TBD,Dragon Ball Z,Anime,Coming January 2020 / GameStop Exclusive (Dragon Ball Z Box Set),
230,Frieza,1st Edition,TBD,Dragon Ball Z,Anime,Coming January 2020 / GameStop Exclusive (Dragon Ball Z Box Set),
231,Kakarot,1st Edition,TBD,Dragon Ball Z,Anime,Coming January 2020 / GameStop Promotional FiGPiN  (Exclusive to Dragon Ball Z: Kakarot Pre-order),
232,Kid Buu,1st Edition,TBD,Dragon Ball Z,Anime,Coming January 2020 / GameStop Exclusive (Dragon Ball Z Box Set),
233,Perfect Cell,1st Edition,TBD,Dragon Ball Z,Anime,Coming January 2020 / GameStop Exclusive (Dragon Ball Z Box Set),
